mounth,failCount,failPause,failMax,lifeTime,activeLife,calls,tariffPrice,tariffSpeed,payments,paymentSum,sms,outflow
1,13,22380,12360,199263622,194832000,0,650,100,2,1300,3,0
1,5,19440,16620,199365988,198547200,2,1149,100,3,3447,5,0
1,8,31300,19358,190882633,192499200,0,650,100,3,1800,1,0
1,13,22380,12360,198587308,150508800,0,650,100,3,1850,3,0
1,3,4440,3180,182168584,142128000,2,1100,100,5,5955,6,0
1,9,58353,45780,188208406,188648071,5,600,25,3,1800,6,0
1,13,73975,45900,189917973,152142860,0,500,50,3,1500,3,0
1,13,73975,45900,188646353,189734400,0,650,100,3,1950,2,0
1,5,19440,16620,196920039,145316482,0,990,50,3,2970,3,0
1,5,19440,16620,194945940,194997679,4,990,50,3,2964,1,0
1,3,4440,3180,193901102,193511155,0,990,50,3,3000,1,0
1,5,19440,16620,194262499,192077845,2,990,50,3,2970,3,0
1,8,30180,25800,190282390,192326400,1,650,100,2,1100,1,0
1,5,19440,16620,190876101,190944000,0,990,100,4,6000,2,0
1,11,27606,14466,193307117,194932993,0,800,100,2,2000,3,0
1,7,29760,25800,98535414,100137600,0,650,100,3,1650,0,0
1,11,21120,12300,193737835,153488548,4,800,100,2,1600,5,0
1,3,4440,3180,192626550,192644983,8,990,50,4,3990,2,0
1,5,4680,3180,191478313,83894400,0,900,8,3,2400,4,0
1,11,27606,14466,192100893,192153600,5,500,50,2,1150,6,0
1,0,0,0,192269758,192499200,0,650,100,4,1650,1,0
1,3,4440,3180,44668799,44668800,0,990,50,3,3000,0,0
1,3,4440,3180,186402675,161798993,0,990,100,3,2940,0,0
1,11,42005,21900,192434170,68947200,3,650,100,3,1950,2,0
1,11,27606,14466,192439948,194745600,0,500,50,3,1500,0,0
1,0,0,0,191239117,168739200,0,500,50,4,1500,2,0
1,9,19860,12240,177313255,179280000,0,650,100,3,2860,13,0
1,3,4440,3180,189668559,178533453,0,990,50,3,2920,0,0
1,3,4440,3180,190627847,190500592,2,990,50,3,2970,0,0
1,9,58353,45780,188209748,189734400,0,500,50,3,1500,6,0
1,3,4440,3180,186650773,186688383,0,990,50,3,2970,0,0
1,13,73975,45900,188638140,189648000,5,650,100,3,1850,8,0
1,11,27606,14466,189593329,180790443,0,800,100,4,2994,8,0
1,5,19440,16620,189579075,88321922,1,990,50,3,2990,3,0
1,5,19440,16620,181614364,105602918,2,1200,200,5,5461,4,0
1,8,30443,21083,186657945,165373740,3,800,100,3,2408,7,0
1,5,19440,16620,187594082,181503795,0,990,50,4,3845,3,0
1,4,4620,3180,186395667,187142400,0,650,100,3,1850,0,0
1,8,30494,18000,185796028,163036800,1,650,100,3,1950,0,0
1,7,29760,25800,184845247,187260908,0,650,100,3,1950,7,0
1,10,20040,12240,181555892,183945600,20,500,50,3,1500,7,0
1,8,31300,19358,185428784,187056000,4,650,100,5,2300,7,0
1,4,4380,3120,185185845,101324925,2,990,100,3,2970,4,0
1,11,26661,19281,184840735,184688707,0,1299,200,2,2200,6,0
1,3,4440,3180,183979083,107228870,9,950,100,3,1658,0,0
1,5,19440,16620,183971331,171676800,0,1390,1000,3,4170,2,0
1,0,0,0,182766828,184550400,0,650,100,1,3000,1,0
1,10,20340,12300,181196379,181958400,0,650,100,3,1950,1,0
1,11,42005,21900,182765865,120185861,0,849,100,0,0,6,0
1,11,26661,19281,10627199,10627200,0,1149,100,3,2859,1,0
1,10,20100,12240,179989668,140140800,1,650,100,3,1950,4,0
1,10,20040,12240,180339948,121392000,2,650,100,2,1300,1,0
1,16,44536,21840,180601438,144892800,3,500,50,3,1500,3,0
1,10,20040,12240,180336139,180854712,0,1100,300,3,3893,6,0
1,16,44536,21840,180347522,155692800,0,650,100,2,1300,0,0
1,9,19860,12240,179992872,182224989,0,650,100,3,1950,7,0
1,4,4380,3120,179746822,178423524,0,1430,1000,4,4500,2,0
1,10,20040,12240,179730231,171331200,0,650,100,3,1950,6,0
1,8,30443,21083,179407522,171443868,0,1000,200,3,3000,0,0
1,11,26661,19281,179401276,130536997,0,990,50,2,1980,3,1
1,10,20040,12240,177936386,174360949,0,849,100,3,2298,7,0
1,10,20040,12240,176974222,174096000,0,650,100,3,1950,2,0
1,10,20100,12240,177585935,179149547,1,1000,200,3,3003,0,0
1,10,20040,12240,177581632,174466256,0,650,100,3,1950,2,0
1,11,42005,21900,176895432,174009600,0,650,100,3,1950,6,0
1,5,19440,16620,176715868,175186132,0,990,50,3,2970,6,0
1,0,0,0,154408640,120960000,0,650,100,2,1200,4,1
1,10,20100,12240,176375875,150422400,0,650,100,2,1300,2,0
1,10,51073,28693,158664595,160686862,2,650,100,3,1950,0,0
1,16,44536,21840,176379219,124767746,0,650,100,4,1885,4,0
1,10,20100,12240,176105043,110937600,0,650,100,2,1300,0,0
1,11,21120,12300,176098935,176774400,0,650,100,2,1850,3,0
1,10,20100,12240,176110425,176774400,1,650,100,3,1900,4,0
1,10,20100,12240,174905602,166147200,0,650,100,3,1950,4,0
1,7,29820,25800,173957272,168393600,2,650,100,3,2275,3,0
1,9,19860,12240,171523635,100224000,6,800,100,3,2200,7,0
1,11,27606,14466,41039999,36892800,0,650,100,3,1575,0,0
1,7,29820,25800,171877512,174096000,6,650,100,3,1950,8,0
1,4,4380,3120,171536114,171562755,0,990,50,3,2970,4,0
1,10,20100,12240,171889274,172784866,0,650,100,3,1950,1,0
1,10,20100,12240,171540330,155433600,0,650,100,3,1800,3,0
1,5,19440,16620,42767999,42508800,0,990,50,3,2940,3,0
1,3,4440,3180,171528624,169415402,0,990,50,3,2970,5,0
1,4,4380,3120,148628282,74993543,0,990,50,0,0,5,0
1,4,4920,2760,164288130,118454400,0,500,50,0,0,0,0
1,16,44536,21840,169716663,147657600,4,500,50,4,1000,1,0
1,3,4440,3180,168497838,140918400,7,1150,12,3,2529,5,0
1,5,19440,16620,45187199,45187200,4,1265,100,4,5060,2,0
1,8,30180,25800,169552715,163176674,0,650,100,3,1950,0,0
1,10,57060,52560,168325234,167177231,1,650,100,2,2000,2,0
1,4,4380,3120,160467837,133376752,0,990,50,1,990,3,0
1,11,26661,19281,167295767,168597411,0,990,50,1,5000,3,0
1,9,58352,45780,97228657,97545600,0,500,50,3,1500,6,0
1,5,19440,16620,166094637,165874376,0,990,50,5,4950,1,0
1,11,42005,21900,166083673,161049600,0,500,50,2,1150,4,0
1,9,58353,45780,165933597,168393600,0,500,50,3,1500,1,0
1,10,51517,28837,165480081,165535049,0,650,100,3,1950,9,0
1,0,0,0,165302857,63072000,0,650,100,3,1950,3,0
1,9,19860,12240,164100856,164079808,2,600,100,4,1902,1,0
1,13,73975,45900,162462818,163468800,8,500,50,3,1500,3,0
1,0,0,0,162442142,131587200,0,500,50,3,1500,3,0
1,10,20100,12240,145951026,145130522,0,500,50,3,1400,3,0
1,10,46320,22860,160126149,160790400,8,500,50,3,1500,1,0
1,13,22380,12360,161857417,122604744,0,1100,300,4,4668,1,0
1,10,46320,22860,160135307,160538382,0,600,25,3,1800,3,0
1,7,29820,25800,160480295,162950400,0,650,100,3,3150,2,0
1,10,51073,28693,160051308,142128000,0,500,50,2,1000,1,0
1,4,4380,3120,160115845,157121734,0,990,50,3,2970,0,0
1,0,0,0,160035863,110764800,0,500,50,3,1500,2,0
1,7,88354,83494,160046289,158371200,0,990,100,3,2970,2,0
1,4,4380,3120,160030704,159921032,0,800,50,3,2400,0,0
1,10,46320,22860,160126195,160790400,2,500,50,3,1500,5,0
1,8,30443,21083,147943136,145808702,0,650,100,3,1950,6,0
1,4,4620,3180,158561823,155433600,2,500,50,2,1000,3,0
1,11,27606,14466,158559475,142560000,0,650,100,1,150,2,0
1,9,58353,45780,157022215,158112000,1,650,100,3,1950,4,0
1,10,20040,12240,156419884,157755145,1,1000,200,3,3000,8,0
1,9,58351,45780,148993554,147657600,0,500,50,3,1500,3,0
1,10,67979,54542,152773292,142214400,0,500,50,3,1500,7,0
1,5,19440,16620,153828947,153337716,2,990,50,2,970,1,0
1,4,4380,3120,155038255,155081331,0,1595,1000,3,4900,3,0
1,3,4440,3180,154435156,155708419,0,1100,100,3,3300,3,0
1,4,4380,3120,154431618,144893340,0,950,100,3,2970,0,0
1,6,7620,4440,152168106,126835200,0,650,100,3,1950,3,0
1,9,58352,45780,151571815,153100800,3,650,100,3,1950,4,0
1,5,19440,16620,149767504,149538928,4,990,50,3,2940,1,0
1,10,51132,28692,150968076,151003412,3,600,100,1,600,1,0
1,11,27170,14390,150957475,142475013,0,500,50,3,1900,5,0
1,10,67979,54542,108104946,68688000,0,650,100,2,2000,2,0
1,8,30443,21083,147778784,150249600,0,500,50,3,1500,6,0
1,4,4980,3120,145688988,147744000,0,650,100,3,1950,3,0
1,11,21120,12300,145682522,129254400,1,800,100,2,1650,3,0
1,10,51132,28692,144918607,146492295,0,1100,300,3,3300,2,0
1,11,42005,21900,144387277,145152000,0,650,100,3,1950,2,0
1,11,27170,14390,143783015,145152000,1,800,100,3,2400,6,0
1,4,4440,3120,143620576,141868800,7,900,8,3,2700,8,0
1,3,4440,3180,143532835,143510400,0,1150,12,4,3854,0,0
1,11,26661,19281,129109125,131414400,2,1265,100,4,6612,0,0
1,9,19860,12240,142421984,129168000,0,500,50,3,1400,5,0
1,10,20100,12240,142410117,141225286,0,550,50,3,1432,8,0
1,7,29760,25800,142559999,142473600,2,120,1,4,4650,2,0
1,13,22380,12360,141213487,128908800,0,800,100,3,2400,4,0
1,10,46320,22860,139378608,131932800,0,650,100,3,1950,10,0
1,7,29760,25800,139995679,134611200,6,800,100,4,2405,3,0
1,4,4500,2640,134721091,92275200,0,650,100,0,0,0,0
1,11,27235,14395,138882188,139795200,0,650,100,3,1900,0,0
1,10,20100,12240,138768001,106474615,2,1100,300,4,3200,5,0
1,12,63075,47595,136448044,123811200,8,650,100,3,1950,2,0
1,4,4380,3120,137139128,137200408,0,990,50,3,3000,1,0
1,5,5520,3840,127893184,129254400,4,1100,300,3,3066,2,0
1,11,27235,14395,137069133,139536000,1,1100,300,3,3300,1,0
1,12,63075,47595,136972412,123897600,0,650,100,3,1950,3,0
1,3,4440,3180,136623903,136591248,0,1100,100,3,3300,6,0
1,3,4440,3180,135139340,130623726,0,990,100,5,4560,2,0
1,5,4680,3180,134715336,134438400,0,950,100,3,3000,3,0
1,10,57060,52560,134554157,134438400,0,650,100,3,3000,0,0
1,11,27235,14395,133949582,134524800,3,650,100,2,2250,0,0
1,9,29895,17820,132288077,121392000,1,650,100,3,1950,3,0
1,13,22380,12360,133008553,134524800,1,800,100,3,2211,1,0
1,10,20100,12240,132298056,87004800,0,500,50,1,500,3,0
1,11,42005,21900,129878867,66793083,1,600,100,2,1500,3,0
1,6,5340,3180,130931179,123897600,0,650,100,3,1950,6,0
1,9,32340,26580,127480999,122502080,5,1000,200,5,3198,8,0
1,0,0,0,123242509,62985600,0,650,100,0,0,1,0
1,11,26661,19281,127279899,128353303,0,990,50,3,2970,6,0
1,11,26661,19281,127534704,127526400,1,990,50,3,2960,3,0
1,12,63075,47595,127474183,127901786,0,1100,300,4,3300,3,0
1,9,29895,17820,125471916,126544674,1,800,100,3,2700,3,0
1,9,58351,45780,126955928,123897600,3,650,100,3,1950,4,0
1,9,58352,45780,126959790,129254400,1,650,100,3,1950,3,0
1,10,51132,28692,126357526,128822400,0,650,100,3,1950,0,0
1,8,30494,18000,126352564,128687625,7,1100,300,4,3187,5,0
1,8,30125,18120,125487871,94489400,0,699,70,4,2900,5,0
1,4,4380,3120,124870187,123907469,0,990,50,3,3180,5,0
1,3,4440,3180,124450298,123981816,1,990,100,3,2970,4,0
1,9,58351,45780,123938592,116121600,1,650,100,3,1950,3,0
1,11,26661,19281,123927363,126403200,8,990,50,3,2970,5,0
1,12,23106,11706,123918642,108000000,0,1265,100,5,4330,8,0
1,12,63075,47595,119337436,118800000,0,650,100,3,1900,2,0
1,10,20340,12300,122640613,54864000,0,650,100,4,1950,3,0
1,10,51517,28837,122467906,124181446,0,650,100,3,1950,0,0
1,9,29895,17820,122015646,116035200,0,650,100,3,1950,6,0
1,8,30494,18000,120739180,116035200,0,650,100,3,1800,0,0
1,12,13646,8906,76585117,78969600,0,650,100,3,1950,2,0
1,11,26661,19281,119871866,118561081,0,990,50,4,3960,3,0
1,5,19440,16620,119858833,119896998,4,1100,100,4,3300,7,0
1,7,29760,25800,119684309,73699200,0,650,100,3,1950,0,0
1,6,15480,9540,118755958,100137799,1,650,100,1,650,1,1
1,3,4440,3180,118493106,118800000,1,900,8,3,2700,0,0
1,11,27170,14390,117185487,118627200,0,650,100,3,1850,2,0
1,5,19440,16620,117106414,116964916,2,990,50,3,2680,4,0
1,0,0,0,118409757,118590153,8,500,50,3,2494,2,0
1,9,58351,45780,116940736,118713600,0,800,100,3,2406,3,0
1,5,19440,16620,117795927,107274920,0,1100,100,2,2200,2,0
1,9,29895,17820,117781078,118713600,0,800,100,3,2420,0,0
1,10,51132,28692,117195668,118713600,0,1000,200,3,3006,6,0
1,11,26661,19281,117180665,117597600,3,1100,100,2,2350,4,0
1,4,4620,3180,116578790,113443200,1,800,100,4,3100,6,0
1,5,19440,16620,46915199,46915200,1,1100,100,4,4100,0,0
1,11,41901,21840,116639999,116640000,0,120,1,2,5400,2,0
1,11,26661,19281,116075259,107148847,0,990,50,2,1980,3,0
1,11,26661,19281,116071788,116035200,2,990,50,3,2970,1,0
1,11,26661,19281,109069265,110851200,0,1100,100,3,3300,7,0
1,11,26661,19281,115800121,65232000,0,990,50,3,2970,4,0
1,4,4380,3120,114591805,114980741,0,990,50,3,3000,3,0
1,9,29895,17820,114861421,113356800,0,800,100,3,3007,9,0
1,11,26661,19281,114598515,116035200,1,990,50,3,2970,3,0
1,5,19440,16620,114603491,90197109,0,1100,100,3,3112,0,0
1,11,26661,19281,111062891,113184000,0,990,50,3,2970,3,0
1,12,63075,47595,114086269,110764800,0,650,100,3,1950,3,0
1,7,29760,25800,112849437,73785600,0,650,100,3,1950,4,0
1,0,0,0,112855873,113356800,0,650,100,3,1950,3,0
1,11,26661,19281,110199378,111888000,1,990,50,3,2960,1,0
1,11,27606,14466,113230230,108172800,4,650,100,4,3200,1,0
1,7,29820,25800,112434449,113443200,0,650,100,3,1700,1,0
1,7,29760,25800,111057616,113356800,0,650,100,4,1950,0,0
1,3,4440,3180,46655999,46656000,0,990,50,3,2970,5,0
1,9,58352,45780,110175077,94694400,0,650,100,4,2480,0,0
1,11,26661,19281,109676151,110411616,2,990,50,3,2970,6,0
1,11,26661,19281,110183224,109436183,12,1149,100,3,2970,1,0
1,7,29760,25800,109851356,110764800,4,800,100,4,2406,1,0
1,8,29654,17820,108791205,97459200,0,650,100,3,1950,0,0
1,10,67979,54542,108464520,108086400,3,650,100,3,1950,5,0
1,7,12840,10740,108473381,78969600,0,650,100,3,1950,3,0
1,11,26661,19281,109056172,109555200,0,990,50,3,2970,3,0
1,4,4620,3180,108891655,110851200,0,500,50,3,1400,3,0
1,8,30494,18000,107858331,107740800,0,500,50,3,1500,6,0
1,4,4380,3120,107868131,107923473,6,990,50,3,2970,1,0
1,1,720,720,102594332,46051200,0,650,100,0,0,0,0
1,9,58352,45780,107609357,108086400,0,650,100,3,2230,2,0
1,4,4380,3120,107250475,107120943,0,990,50,3,3000,0,0
1,10,20040,12240,106055431,108172800,7,800,100,3,2420,3,0
1,11,26661,19281,105174090,104976000,0,1100,100,2,2200,1,1
1,8,30494,18000,103622045,81561600,0,500,50,4,1500,6,0
1,9,19860,12240,104735764,105408000,0,650,100,3,2300,3,0
1,3,4440,3180,104744706,95608130,0,990,50,3,2853,3,0
1,3,4440,3180,104227043,96567330,1,990,50,2,1980,0,0
1,3,4440,3180,102598248,102350440,0,990,100,2,2000,0,0
1,8,30494,18000,102589203,102729600,10,500,50,3,1700,4,0
1,6,40200,22320,100953118,98733248,1,1149,100,3,2970,6,0
1,4,4440,3120,99826621,98928000,1,1149,100,4,2917,3,0
1,5,19440,16620,99815198,99772761,4,990,50,4,3960,1,0
1,11,26661,19281,98086408,98236800,3,1595,250,3,4650,5,0
1,13,22380,12360,99834050,89596800,0,800,100,1,900,0,0
1,10,51517,28837,99383617,99465498,0,1100,300,4,3787,9,0
1,10,51517,28837,98880976,100137600,2,650,100,3,1850,0,0
1,4,4380,3120,93924980,93982573,7,990,50,3,2970,8,0
1,3,4440,3180,98874765,98682631,3,990,50,3,2970,7,0
1,12,63075,47595,98526582,100137600,0,650,100,3,1750,0,0
1,4,4380,3120,98519741,94605722,0,990,50,3,2940,4,0
1,10,57060,52560,97313197,97996046,0,1100,300,3,3300,6,0
1,0,0,0,97660329,100137600,0,1000,200,3,3003,0,0
1,5,5580,3900,97235513,97066290,5,1000,200,4,3940,8,0
1,10,20100,12240,97132451,86918400,0,650,100,3,2800,0,0
1,10,57060,52560,97222459,97545600,2,500,50,4,1600,2,0
1,10,51517,28837,97154417,97545600,1,1000,200,3,3000,6,0
1,6,20040,18060,21254399,11923200,0,990,100,0,0,0,0
1,11,26661,19281,92977539,94867200,1,1265,100,3,3795,1,0
1,9,19860,12240,95853977,97545600,0,650,100,3,1950,0,0
1,11,26661,19281,95767444,97545600,1,990,50,3,3000,2,0
1,3,4440,3180,44409599,44323200,2,1100,100,3,3300,3,0
1,10,20220,12240,61708497,57974400,1,800,100,4,2945,3,0
1,11,26661,19281,94205227,94240337,1,1100,100,6,4470,2,0
1,9,58352,45780,94212982,94867200,1,650,100,3,1950,6,0
1,3,4440,3180,93607238,94867200,0,990,50,3,2970,0,0
1,10,20220,12240,80119637,81203842,0,800,100,3,2400,7,0
1,11,42005,21900,92829872,94867200,3,650,100,3,1950,7,0
1,0,0,0,345599,345600,1,1149,100,1,5200,2,0
1,11,26661,19281,89462880,89769600,0,1100,100,3,3200,3,0
1,10,51517,28837,91779138,86918400,6,650,100,3,1950,8,0
1,7,29820,25800,91450863,92102400,0,650,100,6,2020,0,0
1,6,4380,1920,79949785,79431957,0,1265,100,3,3795,1,0
1,8,30494,18000,89791216,34646400,7,600,100,3,1806,2,0
1,3,4440,3180,88162481,89683200,0,900,8,3,2700,1,0
1,3,4440,3180,89510399,89510400,0,120,1,3,4200,0,0
1,8,30494,18000,90060464,92188800,1,1000,200,3,3475,3,0
1,11,42005,21900,90050682,89510400,0,650,100,2,1300,3,0
1,2,2820,1560,89345113,15811200,0,1100,100,2,1100,1,0
1,5,19440,16620,90067868,87414491,1,1100,100,4,3300,6,0
1,5,19440,16620,89703828,89070271,0,990,50,3,2970,4,0
1,4,4380,3120,88595241,89769600,0,990,50,3,2970,6,0
1,4,4380,3120,89183057,88875852,0,1299,200,4,3681,3,0
1,27,58020,31440,88571513,89769600,0,650,100,3,2300,4,0
1,27,66068,31560,89097754,89769600,0,500,50,4,1500,3,0
1,3,4440,3180,88171417,90195235,0,990,50,3,2970,2,0
1,4,4380,3120,89201498,89769600,0,1595,250,3,5190,5,0
1,11,26661,19281,89107076,90633600,6,990,50,3,2970,3,0
1,11,26661,19281,89112903,90806400,0,1100,100,3,3300,1,0
1,4,4380,3120,12095999,12096000,0,1200,200,2,1300,0,0
1,3,4440,3180,88471792,23760000,2,990,50,4,2100,2,0
1,6,7620,4440,86337220,84326400,3,650,100,3,1950,0,0
1,3,4440,3180,88145496,87696000,2,120,1,2,3600,1,0
1,6,52592,42840,85313923,76464000,2,800,100,1,821,4,0
1,9,58352,45780,87647968,89769600,2,800,100,3,2414,11,0
1,5,19440,16620,87890319,89769600,1,990,50,3,2990,3,0
1,11,26661,19281,87639706,87091200,1,1265,100,4,3795,2,0
1,10,57060,52560,87630822,84412800,3,500,50,3,1500,6,0
1,11,27606,14466,87987294,87177600,3,800,100,4,3109,4,0
1,8,30494,18000,87969358,89769600,0,800,100,3,2401,3,0
1,0,0,0,94607999,93603062,0,1100,300,3,2000,2,0
1,28,62280,31560,85990927,87091200,0,650,100,3,1950,6,0
1,11,26661,19281,65435865,65923200,0,1100,100,3,3300,3,0
1,11,26661,19281,86696609,81820800,0,1100,100,3,3300,3,0
1,0,0,0,87380689,87177600,0,500,50,3,1300,2,0
1,0,0,0,86668990,79228800,4,650,100,1,2600,0,0
1,10,20340,12300,86266094,87091200,4,650,100,3,2000,4,0
1,10,20220,12240,80797530,81734400,0,800,100,2,1400,2,0
1,12,13646,8906,86006017,76464000,0,500,50,1,500,3,0
1,11,26661,19281,85661023,87004800,0,990,50,3,2970,3,0
1,6,7020,3720,85904656,55555200,0,500,50,2,1000,4,0
1,5,19440,16620,85222142,84145482,4,990,50,3,2941,5,0
1,10,20220,12240,75550751,71107200,0,800,100,2,1663,4,0
1,12,13646,8906,84517200,63244800,0,650,100,2,2350,10,0
1,12,13646,8906,77684289,61257600,3,800,100,3,2200,3,0
1,12,13646,8906,83501002,84499200,0,650,100,3,1850,3,0
1,6,7620,4440,83122787,83306076,5,1100,300,3,3300,10,0
1,11,27235,14395,82895476,65923200,0,650,100,3,1950,3,0
1,15,29126,14306,82539325,79228800,0,500,50,3,1500,6,0
1,3,4440,3180,81515152,81565036,0,1149,100,3,3254,7,0
1,3,4440,3180,10108799,10108800,0,1500,300,2,2125,0,0
1,4,4380,3120,81408475,55784324,0,990,50,21,1540,3,0
1,12,13646,8906,81485890,81820800,0,650,100,3,1950,1,0
1,10,20220,12240,79779814,81734400,8,500,50,3,1500,1,0
1,11,26661,19281,80712117,82166400,0,1100,100,0,0,2,0
1,12,13646,8906,80811136,82250479,7,1100,300,3,3200,5,0
